t,u,Wa,Wb,pH
0,15.6,-0.000432,0.000528,7.00161795392524
5,15.6,-0.000432217378011496,0.000527980238362591,7.00289930987491
10,15.6,-0.000432423032217718,0.000527961542525662,7.00411383754554
15,15.6,-0.000432617594916335,0.000527943855007606,7.00526491180386
20,15.6,-0.000432801664303434,0.000527927121426961,7.00635574812565
25,15.6,-0.000432975806312706,0.000527911290335209,7.00738940902911
30,15.6,-0.000433140556355456,0.000527896313058595,7.00836881035771
35,15.6,-0.000433296420966755,0.000527882143548477,7.00929672740462
40,15.6,-0.00043344387936282,0.000527868738239744,7.0101758008717
45,15.6,-0.000433583384914392,0.000527856055916874,7.01100854265817
50,15.6,-0.00043371536654066,0.000527844057587213,7.01179734147473
55,15.6,-0.000433840230027999,0.000527832706361091,7.01254446828078
60,15.6,-0.000433958359277586,0.000527821967338401,7.01325208154281
65,15.6,-0.000434070117485733,0.000527811807501297,7.01392223231357
70,15.6,-0.000434175848260558,0.000527802195612677,7.01455686913206
75,15.6,-0.00043427587667843,0.000527793102120143,7.01515784274545
80,15.6,-0.000434370510283436,0.000527784499065142,7.01572691065459
85,15.6,-0.000434460040032952,0.000527776359997004,7.01626574148529
90,15.6,-0.000434544741192206,0.000527768659891618,7.01677591918815
95,15.6,-0.0004346248741806,0.000527761375074491,7.01725894707019
100,15.6,-0.00043470068537239,0.000527754483147964,7.01771625166174
105,15.6,-0.000434772407854177,0.000527747962922347,7.01814918642254
110,15.6,-0.000434840262141548,0.000527741794350768,7.01855903529103
115,15.6,-0.000434904456857067,0.000527735958467539,7.01894701608122
120,15.6,-0.000434965189371698,0.000527730437329845,7.0193142837316
125,15.6,-0.000435022646411637,0.000527725213962578,7.01966193341053
130,15.6,-0.000435077004632412,0.000527720272306144,7.01999100348285
135,15.6,-0.000435128431162024,0.000527715597167089,7.02030247834236
140,15.6,-0.000435177084114791,0.000527711174171382,7.02059729111484
145,15.6,-0.000435223113077486,0.000527706989720228,7.02087632623626
150,15.6,-0.000435266659569245,0.00052770303094825,7.02114042191088
155,15.6,-0.000435307857476683,0.000527699285683938,7.02139037245387
160,15.6,-0.000435346833465531,0.000527695742412224,7.02162693052279
165,15.6,-0.000435383707370087,0.000527692390239083,7.02185080924266
170,15.6,-0.000435418592561646,0.000527689218858032,7.02206268422876
175,15.6,-0.000435451596297072,0.000527686218518448,7.02226319551151
180,15.6,-0.000435482820048568,0.000527683379995585,7.02245294936757
185,15.6,-0.000435512359815653,0.000527680694562213,7.02263252006126
190,15.6,-0.000435540306420326,0.000527678153961788,7.02280245150011
195,15.6,-0.0004355667457863,0.000527675750383064,7.0229632588084
200,15.6,-0.000435591759203182,0.000527673476436074,7.02311542982248
205,15.6,-0.000435615423576401,0.000527671325129418,7.02325942651121
210,15.6,-0.000435637811663662,0.000527669289848758,7.02339568632513
215,15.6,-0.000435658992298644,0.000527667364336487,7.02352462347761
220,15.6,-0.000435679030602632,0.000527665542672488,7.02364663016113
225,15.6,-0.000435697988184736,0.000527663819255933,7.02376207770178
230,15.6,-0.000435715923331316,0.000527662188788062,7.02387131765497
235,15.6,-0.000435732891185185,0.000527660646255892,7.02397468284509
240,15.6,-0.00043574894391515,0.000527659186916805,7.02407248835183
245,15.6,-0.000435764130876406,0.000527657806283963,7.02416503244581
250,15.6,-0.000435778498762286,0.000527656500112519,7.02425259747599
255,15.6,-0.000435792091747821,0.000527655264386562,7.02433545071117
260,15.6,-0.000435804951625557,0.000527654095306767,7.02441384513789
265,15.6,-0.000435817117934052,0.000527652989278723,7.02448802021693
270,15.6,-0.000435828628079439,0.000527651942901869,7.02455820260044
275,15.6,-0.000435839517450432,0.000527650952959052,7.02462460681163
280,15.6,-0.000435849819527135,0.000527650016406624,7.02468743588903
285,15.6,-0.000435859565983974,0.000527649130365093,7.02474688199699
290,15.6,-0.000435868786787085,0.000527648292110265,7.02480312700416
295,15.6,-0.000435877510286447,0.000527647499064868,7.02485634303169
300,15.6,-0.000435885763303044,0.000527646748790632,7.0249066929725
305,15.6,-0.00043589357121133,0.000527646038980788,7.02495433098326
310,15.6,-0.000435900958017244,0.000527645367452978,7.02499940295048
315,15.6,-0.000435907946432016,0.000527644732142544,7.0250420469319
320,15.6,-0.000435914557941998,0.000527644131096182,7.02508239357462
325,15.6,-0.00043592081287472,0.000527643562465934,7.02512056651111
330,15.6,-0.000435926730461394,0.00052764302450351,7.02515668273422
335,15.6,-0.000435932328896036,0.000527642515554906,7.0251908529523
340,15.6,-0.000435937625391411,0.000527642034055326,7.02522318192555
345,15.6,-0.000435942636231949,0.000527641578524368,7.02525376878437
350,15.6,-0.000435947376823817,0.000527641147561471,7.02528270733095
355,15.6,-0.000435951861742281,0.000527640739841611,7.02531008632469
360,15.6,-0.000435956104776525,0.000527640354111225,7.02533598975248
365,15.6,-0.000435960118972043,0.00052763998918436,7.02536049708458
370,15.6,-0.000435963916670748,0.000527639643939023,7.02538368351685
375,15.6,-0.000435967509548921,0.000527639317313734,7.02540562020006
379.999999999996,15.6,-0.000435970908653107,0.000527639008304263,7.02542637445693
380,15.6,-0.000435970908653107,0.000527639008304263,7.02542637445693
380.000000000004,15.6,-0.000435970908653107,0.000527639008304263,7.02542637445693
385,15.6,-0.000435974124434079,0.000527638715960538,7.02544600998767
390,15.6,-0.000435977166778972,0.00052763843938373,7.02546458706443
395,15.6,-0.00043598004504168,0.000527638177723483,7.02548216271541
400,15.6,-0.000435982768071616,0.000527637930175308,7.02549879089911
405,15.6,-0.000435985344240916,0.000527637695978098,7.02551452266928
410,15.6,-0.000435987781470188,0.000527637474411801,7.02552940633099
415,15.6,-0.000435990087252855,0.000527637264795195,7.0255434875884
420,15.6,-0.000435992268678203,0.0005276370664838,7.02555680968455
425,15.6,-0.000435994332453169,0.000527636878867894,7.02556941353371
430,15.6,-0.000435996284922968,0.000527636701370639,7.02558133784664
435,15.6,-0.000435998132090599,0.000527636533446309,7.02559261924904
440,15.6,-0.000435999879635305,0.000527636374578609,7.0256032923938
445,15.6,-0.000436001532930028,0.000527636224279088,7.02561339006706
450,15.6,-0.000436003097057933,0.000527636082085642,7.02562294328871
455,15.6,-0.000436004576828038,0.000527635947561087,7.02563198140742
459.999999999996,15.6,-0.000436005976789995,0.000527635820291819,7.0256405321906
460,14,-0.000436005976789995,0.000527635820291819,7.0256405321906
460.000000000004,14,-0.00043600597678999,0.00052763582029182,7.02564053219056
465,14,-0.000429104380175529,0.000528897019938559,6.98203498898235
470,14,-0.000422557610139606,0.000530093378479608,6.94319693993262
475,14,-0.000416347424251107,0.000531228229541803,6.90830262288208
480,14,-0.00041045651796326,0.000532304735362737,6.87672757905214
485,14,-0.000404868476394897,0.00053332589560227,6.84798691043544
490,14,-0.000399567728590747,0.000534294555701013,6.82169631540524
495,14,-0.000394539504133314,0.000535213414809086,6.79754581400313
500,14,-0.000389769791985429,0.00053608503330724,6.77528151726824
505,14,-0.000385245301448804,0.000536911839941303,6.7546926618123
510,14,-0.000380953425129792,0.000537696138589828,6.73560218810453
515,14,-0.000376882203809163,0.000538440114683797,6.71785976274438
520,14,-0.000373020293117998,0.000539145841296279,6.70133652301468
525,14,-0.00036935693192686,0.000539815284918999,6.68592105862523
530,14,-0.000365881912360134,0.000540450310941932,6.67151629756514
535,14,-0.000362585551352016,0.000541052688851162,6.6580370629342
540,14,-0.000359458663664854,0.00054162409715952,6.64540813473599
545,14,-0.000356492536294688,0.000542166128083727,6.63356269654063
550,14,-0.000353678904192656,0.000542680291981064,6.62244107889697
555,14,-0.000351009927234617,0.000543168021557954,6.61198973398548
560,14,-0.000348478168374813,0.000543630675862166,6.60216039222627
565,14,-0.00034607657292271,0.000544069544069771,6.59290936335236
570,14,-0.000343798448885255,0.000544485849077405,6.5841969531393
575,14,-0.000341637448319781,0.00054488075090984,6.57598697344511
580,14,-0.00033958754964561,0.000545255349952372,6.56824632807525
585,14,-0.000337643040865046,0.000545610690017016,6.56094466068024
590,14,-0.000335798503647019,0.000545947761251069,6.5540540537237
595,14,-0.000334048798229028,0.000546267502896133,6.54754876974696
600,14,-0.0003323890490953,0.000546570805905287,6.54140502786125
605,14,-0.000330814631391277,0.000546858515425715,6.53560080973685
610,14,-0.000329321158036558,0.000547131433153685,6.53011569041661
615,14,-0.000327904467500395,0.000547390319568461,6.524930690123
620,14,-0.000326560612205681,0.00054763589605136,6.52002814390166
625,14,-0.000325285847529112,0.000547868846895864,6.51539158648699
630,14,-0.000324076621366876,0.000548089821214393,6.5110056502146
635,14,-0.000322929564236792,0.000548299434747038,6.50685597416269
640,14,-0.000321841479889326,0.000548498271577312,6.50292912299684
645,14,-0.000320809336401308,0.000548686885759681,6.49921251423263
650,14,-0.000319830257727547,0.000548865802863426,6.49569435282846
655,14,-0.00031890151568679,0.000549035521437134,6.49236357218527
660,14,-0.000318020522359713,0.000549196514397888,6.48920978076597
665,14,-0.000317184822877731,0.000549349230349042,6.48622321366155
670,14,-0.000316392088582566,0.000549494094830244,6.48339468852618
675,14,-0.000315640110537492,0.000549631511503194,6.48071556538384
680,14,-0.00031492679337218,0.000549761863276438,6.47817770987677
685,14,-0.000314250149443993,0.000549885513372331,6.47577345958323
690,14,-0.000313608293299465,0.000550002806339156,6.47349559308074
695,14,-0.000312999436420528,0.000550114069011191,6.47133730147245
700,14,-0.000312421882240841,0.000550219611419431,6.46929216212941
705,14,-0.000311874021418352,0.000550319727655483,6.46735411443206
710,14,-0.000311354327350893,0.000550414696691042,6.46551743732021
715,14,-0.000310861351922345,0.000550504783155243,6.46377672848296
719.999999999993,14,-0.000310393721467488,0.000550590238072042,6.46212688503969
720,13,-0.000310393721467487,0.000550590238072042,6.46212688503968
720.000000000007,13,-0.00031039372146748,0.000550590238072043,6.46212688503966
725,13,-0.000305421558765759,0.000551498776147294,6.44466388893019
730,13,-0.000300697164870484,0.000552362040685048,6.42819526326522
735,13,-0.000296208193166088,0.000553182287719755,6.41264738869843
740,13,-0.000291942912283598,0.000553961660864973,6.39795473136637
745,13,-0.000287890175442169,0.00055470219691544,6.38405860909933
750,13,-0.000284039391318362,0.000555405831169974,6.37090618709571
